rank,ticker,composite_score,coverage,value,quality,growth,gold_score,max_drawdown,volatility,news_sentiment,social_sentiment,capitol_hill,gold_gpa,gold_worst,grades,windows_available,history_years,xs_3mo,xs_1y,xs_2.5y,xs_5y,xs_10y,divergence,meme_flag,news_buzz,social_buzz,rel_volume,max_drawdown_raw,volatility_raw,p_goal_2y,p_bust_2y,mc_confidence,sector,price_usd,llm_reason,run_timestamp
1,EFC,7.8847,0.95,8.8301,6.9071,9.5577,7.15,8.8667,9.2667,4.1667,,6.5,2.86,2.0,A-/B/B+/C+/C,5,15.73,0.595,-0.7192,-0.4347,-0.3995,-0.4782,0.9945,False,1.6793,4.4697,0.6206,-0.1886,0.2027,0.3,0.033,0.6434,Real Estate,13.7,"strong growth 9.6, volatility 9.3; grades A-/B/B+/C+/C",20260716_164333
2,BMO,7.4601,0.95,5.191,5.8854,6.5598,9.5,9.0667,9.2667,7.5,,8.0,3.8,3.3,A/A/A/A-/B+,5,31.67,2.6997,1.0306,0.263,0.0416,-0.1585,2.6581,False,8.5101,4.4697,0.6614,-0.1755,0.2028,0.3612,0.0048,0.7487,Financial Services,182.62,"strong vs-SPY record 9.5, volatility 9.3; grades A/A/A/A-/B+",20260716_164333
3,JPM,7.3914,0.95,4.7743,7.4679,8.2173,9.0,7.8,7.7333,4.375,,8.0,3.6,3.0,B+/B/A/A-/A,5,46.34,-0.2267,-0.5967,0.0586,0.0706,-0.0236,-0.2974,False,2.8788,4.4697,0.5275,-0.2442,0.2427,0.3614,0.0258,0.7922,Financial Services,343.15,"strong vs-SPY record 9.0, growth 8.2; grades B+/B/A/A-/A",20260716_164333
4,SNDK,7.3912,0.775,3.6446,8.7197,9.5982,9.125,,,6.7391,,5.0,3.65,3.3,B+/A/-/-/-,2,1.41,-0.222,2.1867,,,,,False,9.4192,9.8737,1.357,,,0.9998,0.0,0.0,Technology,1411.08,"strong growth 9.6, vs-SPY record 9.1; weak value 3.6; grades B+/A/-/-/-; 2/5 windows; low MC confidence",20260716_164333
5,MU,7.0135,1.0,6.6674,8.5328,9.7318,9.85,1.6,0.2667,5.303,6.4286,8.0,3.94,3.7,A-/A/A/A/A,5,42.11,0.6537,1.3785,0.4544,0.3506,0.2037,0.3031,False,9.8359,9.4697,0.8698,-0.5763,0.6602,0.4538,0.119,0.7821,Technology,853.2,"strong vs-SPY record 9.8, growth 9.7; weak volatility 0.3; grades A-/A/A/A/A",20260716_164333
6,BAC,6.9474,0.95,6.2326,5.8832,7.0098,8.55,7.4,7.6,8.4483,,5.0,3.42,2.7,A-/A-/A-/B-/B+,5,53.42,0.7361,-0.0724,-0.0943,-0.2537,-0.1567,0.9898,False,9.7601,4.4697,1.0243,-0.2751,0.2458,0.3038,0.0592,0.8065,Financial Services,61.49,"strong vs-SPY record 8.6, news tone 8.4; grades A-/A-/A-/B-/B+",20260716_164333
7,TSM,6.8964,0.95,8.5185,7.4939,6.0428,9.2,4.8,1.8667,5.0,,8.0,3.68,3.0,B/A-/A/A-/A,5,28.71,-0.9907,-0.0102,0.2885,0.0755,0.1417,-1.0662,False,1.0101,4.4697,1.6671,-0.3682,0.4171,0.4574,0.0432,0.736,Technology,409.74,"strong vs-SPY record 9.2, value 8.5; weak volatility 1.9; grades B/A-/A/A-/A",20260716_164333
8,DUK,6.8019,0.9,8.7083,4.3182,6.0625,6.5,9.7333,9.9333,,,4.0,2.6,1.7,C-/B-/B+/B/C+,5,46.34,-2.3909,-0.8832,-0.4227,-0.243,-0.3991,-2.1479,False,0.3788,4.4697,0.6739,-0.1159,0.1677,0.2708,0.0018,0.7922,Utilities,126.11,"strong volatility 9.9, drawdown 9.7; weak congress buying 4.0; grades C-/B-/B+/B/C+",20260716_164333
9,ES,6.7631,0.9,9.125,4.0909,4.9375,6.35,8.9333,7.6667,,,8.0,2.54,1.7,B+/B/B-/C/C-,5,53.42,-0.5274,-0.7236,-0.5715,-0.594,-0.5307,0.0666,False,0.3788,4.4697,0.3386,-0.1832,0.2435,0.2054,0.009,0.8065,Utilities,75.04,"strong value 9.1, drawdown 8.9; grades B+/B/B-/C/C-",20260716_164333
10,NFG,6.6391,0.95,5.7917,6.0417,5.9226,5.85,8.2667,9.2,5.8333,,8.0,2.34,1.0,D/C-/A-/B+/C,5,53.23,-3.6837,-1.7993,-0.1229,-0.1455,-0.4731,-3.5382,False,1.1237,4.4697,0.8705,-0.2093,0.2063,0.2562,0.0054,0.8061,Energy,81.64,"strong volatility 9.2, drawdown 8.3; grades D/C-/A-/B+/C",20260716_164333
11,GOOG,6.6046,0.95,3.8056,7.7083,6.75,9.2,6.7333,5.0,7.963,,5.0,3.68,2.7,B-/A/A/A-/A,5,21.87,-1.3878,0.7242,0.0554,0.0012,0.053,-1.389,False,9.5833,4.4697,1.0201,-0.2935,0.3026,0.542,0.005,0.6976,Communication Services,353.81,"strong vs-SPY record 9.2, news tone 8.0; weak value 3.8; grades B-/A/A/A-/A",20260716_164333
12,KFY,6.5784,0.95,8.7702,6.6879,5.3135,6.85,7.8667,5.2,5.8333,,5.0,2.74,2.0,A-/C+/B-/C/B,5,27.37,0.3113,-1.1336,-0.5865,-0.4977,-0.2847,0.8091,False,6.8687,4.4697,0.7635,-0.2414,0.2896,0.3296,0.0938,0.7297,Industrials,78.87,"strong value 8.8, drawdown 7.9; grades A-/C+/B-/C/B",20260716_164333
