rank,ticker,composite_score,momentum,volume,news,social,fundamentals,capitol_hill,price_usd,llm_reason,run_timestamp
1,AD,7.5008,8.4507,4.8887,10.0,6.0,9.5156,5.0,52.52,Composite score ranking (--no-llm),20260512_001505
2,DRTS,7.36,10.0,10.0,10.0,2.4,5.0,5.0,10.34,Composite score ranking (--no-llm),20260512_001505
3,MRNA,7.3023,8.1428,6.7416,10.0,6.0,6.75,5.0,52.88,Composite score ranking (--no-llm),20260512_001505
4,INOD,7.3,10.0,10.0,10.0,0.0,7.0,5.0,103.83,Composite score ranking (--no-llm),20260512_001505
5,BTBT,7.0508,10.0,4.6672,10.0,4.8,5.8715,5.0,2.15,Composite score ranking (--no-llm),20260512_001505
6,LQDA,7.0375,10.0,10.0,10.0,0.0,5.25,5.0,53.13,Composite score ranking (--no-llm),20260512_001505
7,CARE,7.0212,8.4659,1.1867,10.0,6.0,10.0,5.0,26.57,Composite score ranking (--no-llm),20260512_001505
8,POET,6.859,10.0,1.31,10.0,6.0,6.75,5.0,13.9,Composite score ranking (--no-llm),20260512_001505
9,SONY,6.8067,10.0,3.8521,10.0,6.0,3.8592,5.0,21.29,Composite score ranking (--no-llm),20260512_001505
10,TWO,6.7861,6.088,6.0398,10.0,6.0,6.75,5.0,12.62,Composite score ranking (--no-llm),20260512_001505
11,KEEL,6.7615,10.0,2.2204,10.0,4.8,6.3895,5.0,4.3,Composite score ranking (--no-llm),20260512_001505
12,TH,6.7392,9.5969,6.1435,10.0,2.4,5.2555,5.0,18.08,Composite score ranking (--no-llm),20260512_001505
13,CRCL,6.7258,6.7917,6.5496,10.0,2.4,8.5,5.0,131.76,Composite score ranking (--no-llm),20260512_001505
14,NVDA,6.7233,10.0,0.1555,10.0,6.0,7.0,5.0,219.44,Composite score ranking (--no-llm),20260512_001505
15,WDC,6.7109,9.128,0.7094,10.0,6.0,7.5259,5.0,515.83,Composite score ranking (--no-llm),20260512_001505
16,RUN,6.7055,7.956,0.0,10.0,6.0,9.762,5.0,14.47,Composite score ranking (--no-llm),20260512_001505
17,GLW,6.662,10.0,1.9966,10.0,4.8,5.95,5.0,207.39,Composite score ranking (--no-llm),20260512_001505
18,HL,6.6409,9.4145,2.5833,10.0,4.8,6.0033,5.0,20.67,Composite score ranking (--no-llm),20260512_001505
19,P,6.6397,10.0,9.0981,10.0,0.0,3.5,5.0,87.34,Composite score ranking (--no-llm),20260512_001505
20,B,6.5904,10.0,2.717,10.0,0.0,9.5525,5.0,47.0,Composite score ranking (--no-llm),20260512_001505
